1.html , Spring 2004 Women's Tennis Schedule,  Oct 18 (Sat) 09:00 AM, Patriot League Championship, Bethlehem Pa., Lehigh wins three titles,
1.html , Spring 2004 Women's Tennis Schedule,  Oct 25 (Sat), ITA Division I East Regional Championships, Blacksburg VA, Complete results,
299.html , 2014 Softball Schedule,  Feb 23 (Sun) 9:30 AM, Mercer, Orlando Fla., L, 2-6,
299.html , 2014 Softball Schedule,  Feb 23 (Sun) 10:00:00 AM, Northern Illinois, Orlando Fla., Cancelled,
299.html , 2014 Softball Schedule,  Mar 1 (Sat) 1:45 PM, Colorado State, Imperial Calif., L, 1-4 5 innings,
299.html , 2014 Softball Schedule,  Mar 1 (Sat) 4:30 PM, Utah State, San Diego Calif. (USD), Cancelled,
299.html , 2014 Softball Schedule,  Mar 1 (Sat) 6:15 PM, Illinois-Chicago, Imperial Calif., Cancelled,
299.html , 2014 Softball Schedule,  Mar 2 (Sun) 2:30 PM, Utah, San Diego Calif. (SDSU), Cancelled,
299.html , 2014 Softball Schedule,  Mar 2 (Sun) 3:30 PM, Fresno State, San Diego Calif. (SDSU), Cancelled,
299.html , 2014 Softball Schedule,  Mar 2 (Sun) 5:00 PM, Colorado State, San Diego Calif. (SDSU), Cancelled,
299.html , 2014 Softball Schedule,  Mar 2 (Sun) 6:00 PM, San Diego State, San Diego Calif., Postponed,
299.html , 2014 Softball Schedule,  Mar 3 (Mon) 9:00 PM, San Diego State, San Diego Calif., W, 3-0,
299.html , 2014 Softball Schedule,  Mar 4 (Tue) 8:00 PM, San Diego                                                                                              (DH), San Diego Calif., L, 1-2,
299.html , 2014 Softball Schedule,  Mar 4 (Tue) 10:00 PM, San Diego                                                                                              (DH), San Diego Calif., W, 2-0,
299.html , 2014 Softball Schedule,  Mar 5 (Wed) 5:00 PM, Long Beach State, Long Beach Calif., L, 1-4,
299.html , 2014 Softball Schedule,  Mar 6 (Thu) 1:00 PM, Saint Mary's, Los Angeles Calif., L, 1-2,
299.html , 2014 Softball Schedule,  Mar 6 (Thu) 3:00 PM, Loyola Marymount, Los Angeles Calif., L, 2-3 8 innings,
299.html , 2014 Softball Schedule,  Mar 7 (Fri) 12:00 PM, Brown, Los Angeles Calif., W, 5-2,
299.html , 2014 Softball Schedule,  Mar 7 (Fri) 2:00 PM, Saint Mary's, Los Angeles Calif., W, 4-2,
299.html , 2014 Softball Schedule,  Mar 8 (Sat) 12:00 PM, Saint Mary's, Los Angeles Calif., L, 0-1,
299.html , 2014 Softball Schedule,  Mar 15 (Sat) 11:00 AM, Hartford, Dover Del., W, 9-1 5 innings,
299.html , 2014 Softball Schedule,  Mar 15 (Sat) 1:15 PM, Delaware State, Dover Del., W, 1-0,
299.html , 2014 Softball Schedule,  Mar 16 (Sun) 11:00 AM, Hartford, Dover Del., W, 9-0 5 innings,
299.html , 2014 Softball Schedule,  Mar 16 (Sun) 3:30 PM, Delaware State, Dover Del., W, 1-0,
299.html , 2014 Softball Schedule,  Mar 19 (Wed) 3:00 PM, Penn                                                                                              (DH), Philadelphia Pa., Cancelled,
299.html , 2014 Softball Schedule,  Mar 19 (Wed) 5:00 PM, Penn                                                                                              (DH), Philadelphia Pa., Cancelled,
299.html , 2014 Softball Schedule,  Mar 22 (Sat) 12:00 PM, Colgate                                                                                              (DH), Kaufman Fields, W, 26-1 5 innings,
299.html , 2014 Softball Schedule,  Mar 22 (Sat) 2:00 PM, Colgate                                                                                              (DH), Kaufman Fields, W, 5-4,
299.html , 2014 Softball Schedule,  Mar 23 (Sun) 12:00 PM, Colgate, Kaufman Fields, W, 6-4,
299.html , 2014 Softball Schedule,  Mar 26 (Wed) 2:30 PM, Villanova                                                                                              (DH), Villanova Pa., Postponed,
299.html , 2014 Softball Schedule,  Mar 26 (Wed) 4:30 PM, Villanova                                                                                              (DH), Villanova Pa., Postponed,
299.html , 2014 Softball Schedule,  Mar 29 (Sat) 9:30 AM, Lafayette                                                                                              (DH), Kaufman Fields, W, 4-0,
299.html , 2014 Softball Schedule,  Mar 29 (Sat) 11:30 AM, Lafayette                                                                                              (DH), Kaufman Fields, Postponed,
299.html , 2014 Softball Schedule,  Mar 30 (Sun) 12:00 PM, Lafayette                                                                                              (DH), Kaufman Fields, Postponed,
299.html , 2014 Softball Schedule,  Mar 30 (Sun) 2:00 PM, Lafayette                                                                                              (DH), Kaufman Fields, Postponed,
299.html , 2014 Softball Schedule,  Mar 31 (Mon) 2:30 PM, Lafayette                                                                                              (DH), Kaufman Fields, W, 4-1,
299.html , 2014 Softball Schedule,  Mar 31 (Mon) 4:30 PM, Lafayette                                                                                              (DH), Kaufman Fields, W, 9-1 6 innings,
299.html , 2014 Softball Schedule,  Apr 2 (Wed) 3:00 PM, Rider                                                                                              (DH), Lawrenceville N.J., W, 6-0,
299.html , 2014 Softball Schedule,  Apr 2 (Wed) 5:00 PM, Rider                                                                                               (DH), Lawrenceville N.J., W, 10-4 6 innings,
299.html , 2014 Softball Schedule,  Apr 5 (Sat) 12:00 PM, Boston University                                                                                              (DH), Boston Mass., W, 3-0,
299.html , 2014 Softball Schedule,  Apr 5 (Sat) 2:00 PM, Boston University                                                                                              (DH), Boston Mass., L, 4-6,
299.html , 2014 Softball Schedule,  Apr 6 (Sun) 12:00 PM, Boston University, Boston Mass., L, 4-8,
299.html , 2014 Softball Schedule,  Apr 8 (Tue) 3:00 PM, Marist                                                                                              (DH), Kaufman Fields, W, 6-3,
299.html , 2014 Softball Schedule,  Apr 8 (Tue) 5:00 PM, Marist                                                                                              (DH), Kaufman Fields, L, 10-11,
299.html , 2014 Softball Schedule,  Apr 9 (Wed) 3:30 PM, Fordham, Kaufman Fields, L, 5-9,
299.html , 2014 Softball Schedule,  Apr 12 (Sat) 1:00 PM, Bucknell                                                                                              (DH), Lewisburg Pa., W, 7-1,
299.html , 2014 Softball Schedule,  Apr 12 (Sat) 3:00 PM, Bucknell                                                                                              (DH), Lewisburg Pa., L, 0-2,
299.html , 2014 Softball Schedule,  Apr 13 (Sun) 12:00 PM, Bucknell, Lewisburg Pa., W, 2-0,
299.html , 2014 Softball Schedule,  Apr 16 (Wed) 3:00 PM, Princeton                                                                                              (DH), Kaufman Fields, Cancelled,
299.html , 2014 Softball Schedule,  Apr 16 (Wed) 5:00 PM, Princeton                                                                                              (DH), Kaufman Fields, Cancelled,
299.html , 2014 Softball Schedule,  Apr 16 (Wed) 4:30 PM, Saint Joseph's, Kaufman Fields, W, 5-1,
299.html , 2014 Softball Schedule,  Apr 19 (Sat) 12:00 PM, Holy Cross                                                                                              (DH), Kaufman Fields, W, 6-0,
299.html , 2014 Softball Schedule,  Apr 19 (Sat) 2:00 PM, Holy Cross                                                                                              (DH), Kaufman Fields, W, 4-3 9 innings,
299.html , 2014 Softball Schedule,  Apr 20 (Sun) 12:00 PM, Holy Cross, Kaufman Fields, W, 8-2,
299.html , 2014 Softball Schedule,  Apr 23 (Wed) 4:00 PM, Hofstra                                                                                              (DH), Hempstead N.Y., L, 3-11 6 innings,
299.html , 2014 Softball Schedule,  Apr 23 (Wed) 6:00 PM, Hofstra                                                                                              (DH), Hempstead N.Y., L, 1-8,
299.html , 2014 Softball Schedule,  Apr 26 (Sat) 12:00 PM, Manhattan                                                                                              (DH), Riverdale N.Y., L, 2-3,
299.html , 2014 Softball Schedule,  Apr 26 (Sat) 2:00 PM, Manhattan                                                                                              (DH), Riverdale N.Y., W, 7-1,
299.html , 2014 Softball Schedule,  Apr 27 (Sun) 12:00 PM, Saint Francis (Pa.)                                                                                              (DH), Kaufman Fields, W, 6-4,
299.html , 2014 Softball Schedule,  Apr 27 (Sun) 2:00 PM, Saint Francis (Pa.)                                                                                              (DH), Kaufman Fields, W, 1-0,
299.html , 2014 Softball Schedule,  May 3 (Sat) 1:00 PM, Army                                                                                              (DH), West Point N.Y., W, 5-3,
299.html , 2014 Softball Schedule,  May 3 (Sat) 3:00 PM, Army                                                                                              (DH), West Point N.Y., W, 8-0 5 innings,
299.html , 2014 Softball Schedule,  May 4 (Sun) 11:30 AM, Army, West Point N.Y., W, 9-1 6 innings,
299.html , 2014 Softball Schedule,  May 8 (Thu) 12:30 PM  PLN, Army, Kaufman Fields, L, 1-5 9 innings,
299.html , 2014 Softball Schedule,  May 9 (Fri) 1:00 PM  PLN, Bucknell, Kaufman Fields, L, 1-3,
302.html , 2014 Volleyball Schedule,  Aug 29 (Fri) 12 p.m., Siena, Buffalo N.Y., L, 0-3,
302.html , 2014 Volleyball Schedule,  Aug 29 (Fri) 7 p.m., Buffalo, Buffalo N.Y., W, 3-0,
302.html , 2014 Volleyball Schedule,  Aug 30 (Sat) 10 a.m., Canisius, Buffalo N.Y., W, 3-2,
302.html , 2014 Volleyball Schedule,  Aug 30 (Sat) 5 p.m., University of Mississippi, Buffalo N.Y., L, 0-3,
302.html , 2014 Volleyball Schedule,  Sep 5 (Fri) 1 p.m., George Mason, Fairfax Va., W, 3-0,
302.html , 2014 Volleyball Schedule,  Sep 5 (Fri) 5 p.m., Maryland, Fairfax Va., L, 1-3,
302.html , 2014 Volleyball Schedule,  Sep 6 (Sat) 10 a.m., William and Mary, Fairfax Va., L, 1-3,
302.html , 2014 Volleyball Schedule,  Sep 6 (Sat) 4 p.m., East Tennessee State, Fairfax Va., L, 0-3,
302.html , 2014 Volleyball Schedule,  Sep 9 (Tue) 7 p.m., Villanova, Villanova Pa., L, 0-3,
302.html , 2014 Volleyball Schedule,  Sep 12 (Fri) 5 p.m.  PLN, Saint Peter's, Leeman-Turner Arena at Grace Hall, W, 3-0,
302.html , 2014 Volleyball Schedule,  Sep 13 (Sat) 10 a.m.  PLN, Delaware State, Leeman-Turner Arena at Grace Hall, W, 3-0,
302.html , 2014 Volleyball Schedule,  Sep 13 (Sat) 3 p.m.  PLN, Marist, Leeman-Turner Arena at Grace Hall, L, 2-3,
302.html , 2014 Volleyball Schedule,  Sep 17 (Wed) 7 p.m.  PLN, Lafayette, Easton Pa., W, 3-1,
302.html , 2014 Volleyball Schedule,  Sep 19 (Fri) 7 p.m.  PLN, Holy Cross, Leeman-Turner Arena at Grace Hall, W, 3-0,
302.html , 2014 Volleyball Schedule,  Sep 20 (Sat) 4 p.m.  PLN, Army, Leeman-Turner Arena at Grace Hall, W, 3-0,
302.html , 2014 Volleyball Schedule,  Sep 25 (Thu) 7 p.m., Loyola, Baltimore Md., W, 3-0,
302.html , 2014 Volleyball Schedule,  Sep 26 (Fri) 7 p.m., Navy, Annapolis Md., W, 3-0,
302.html , 2014 Volleyball Schedule,  Oct 3 (Fri) 7 p.m.  PLN, Bucknell, Leeman-Turner Arena at Grace Hall, W, 3-0,
302.html , 2014 Volleyball Schedule,  Oct 4 (Sat) 4 p.m.  PLN, Colgate, Hamilton N.Y., L, 2-3,
302.html , 2014 Volleyball Schedule,  Oct 7 (Tue) 7 p.m.  PLN, Fordham, Leeman-Turner Arena at Grace Hall, W, 3-0,
302.html , 2014 Volleyball Schedule,  Oct 10 (Fri) 7 p.m.  PLN, American, Washington D.C., L, 0-3,
302.html , 2014 Volleyball Schedule,  Oct 17 (Fri) 7 p.m.  PLN, Lafayette, Leeman-Turner Arena at Grace Hall, W, 3-0,
302.html , 2014 Volleyball Schedule,  Oct 18 (Sat) 4 p.m., NJIT, Newark N.J., W, 3-0,
302.html , 2014 Volleyball Schedule,  Oct 24 (Fri) 7 p.m., Army, West Point N.Y., W, 3-1,
302.html , 2014 Volleyball Schedule,  Oct 25 (Sat) 4 p.m.  PLN, Holy Cross, Worcester Mass., W, 3-2,
302.html , 2014 Volleyball Schedule,  Oct 31 (Fri) 7 p.m.  PLN, Loyola, Leeman-Turner Arena at Grace Hall, W, 3-0,
302.html , 2014 Volleyball Schedule,  Nov 1 (Sat) 4 p.m.  PLN, Navy, Leeman-Turner Arena at Grace Hall, W, 3-1,
302.html , 2014 Volleyball Schedule,  Nov 7 (Fri) 7 p.m.  PLN, Colgate, Leeman-Turner Arena at Grace Hall, W, 3-0,
302.html , 2014 Volleyball Schedule,  Nov 8 (Sat) 5 p.m., Bucknell, Lewisburg Pa., W, 3-0,
302.html , 2014 Volleyball Schedule,  Nov 15 (Sat) 4 p.m.  PLN, American, Leeman-Turner Arena at Grace Hall, W, 3-2,
302.html , 2014 Volleyball Schedule,  Nov 22 (Sat) 4 p.m., No. 3 Navy, Washington D.C., W, 3-0,
302.html , 2014 Volleyball Schedule,  Nov 23 (Sun) 1 p.m., No. 1 American, Washington D.C., L, 0-3,
303.html , 2014 Women's Soccer Schedule,  Aug 24 (Sun) 12:30 pm, Binghamton, Ulrich Sports Complex, W, 2-0,
303.html , 2014 Women's Soccer Schedule,  Aug 31 (Sun) 1:00 pm, Mount St. Mary's, Emmitsburg MD, W, 1-0,
303.html , 2014 Women's Soccer Schedule,  Sep 7 (Sun) 1:00 pm, Villanova, Ulrich Sports Complex, T, 1-1 2OT,
303.html , 2014 Women's Soccer Schedule,  Sep 12 (Fri) 7:00 pm, Saint Joseph's, Philadelphia Pa., L, 0-1,
303.html , 2014 Women's Soccer Schedule,  Sep 14 (Sun) 3:00 pm, Central Connecticut State, New Britain Conn., L, 1-2,
303.html , 2014 Women's Soccer Schedule,  Sep 20 (Sat) 3:00 pm, American, Ulrich Sports Complex, W, 1-0,
303.html , 2014 Women's Soccer Schedule,  Sep 26 (Fri) 7:00 pm, Bucknell, Lewisburg Pa., T, 0-0 2 OT,
303.html , 2014 Women's Soccer Schedule,  Oct 1 (Wed) 7:00 pm, Lafayette, Easton Pa., W, 2-1,
303.html , 2014 Women's Soccer Schedule,  Oct 4 (Sat) 4:00 pm, Boston University, Ulrich Sports Complex, T, 1-1 2 OT,
303.html , 2014 Women's Soccer Schedule,  Oct 8 (Wed) 7:00 pm, Princeton, Ulrich Sports Complex, L, 1-4,
303.html , 2014 Women's Soccer Schedule,  Oct 11 (Sat) 7:00 pm, Loyola, Baltimore Md., T, 0-0 2 OT,
303.html , 2014 Women's Soccer Schedule,  Oct 18 (Sat) 7:00 pm, Army, Ulrich Sports Complex, T, 0-0 2OT,
303.html , 2014 Women's Soccer Schedule,  Oct 22 (Wed) 6:00 pm, Navy, Ulrich Sports Complex, L, 0-2,
303.html , 2014 Women's Soccer Schedule,  Oct 25 (Sat) 7:00 pm, Colgate, Hamilton N.Y., L, 0-1,
303.html , 2014 Women's Soccer Schedule,  Oct 28 (Tue) 7:00 pm, Penn, Ulrich Sports Complex, L, 0-2,
303.html , 2014 Women's Soccer Schedule,  Nov 1 (Sat) 5:00 pm, Holy Cross, Worcester Mass., L, 0-1,
304.html , 2014 Men's Soccer Schedule,  Aug 29 (Fri) 7 p.m.  PLN, Manhattan, Ulrich Sports Complex, W, 2-1,
304.html , 2014 Men's Soccer Schedule,  Sep 1 (Mon) 7 p.m., Monmouth, West Long Branch N.J., W, 2-0,
304.html , 2014 Men's Soccer Schedule,  Sep 5 (Fri) 7 p.m., Stony Brook, Stony Brook N.Y., L, 0-3,
304.html , 2014 Men's Soccer Schedule,  Sep 12 (Fri) 7 p.m., Rhode Island, Kingston R.I., W, 1-0,
304.html , 2014 Men's Soccer Schedule,  Sep 14 (Sun) 1 p.m., Brown, Providence R.I., L, 1-2,
304.html , 2014 Men's Soccer Schedule,  Sep 19 (Fri) 7 p.m.  PLN, Stetson, Ulrich Sports Complex, W, 1-0 OT,
304.html , 2014 Men's Soccer Schedule,  Sep 23 (Tue) 7 p.m.  PLN, Villanova, Ulrich Sports Complex, L, 0-1 OT,
304.html , 2014 Men's Soccer Schedule,  Sep 27 (Sat) 7 p.m.  PLN, American, Ulrich Sports Complex, W, 2-1,
304.html , 2014 Men's Soccer Schedule,  Oct 4 (Sat) 7 p.m.  PLN, Bucknell, Lewisburg Pa., W, 2-1,
304.html , 2014 Men's Soccer Schedule,  Oct 8 (Wed) 7 p.m.  PLN, Lafayette, Easton Pa., L, 0-2,
304.html , 2014 Men's Soccer Schedule,  Oct 11 (Sat) 7 p.m.  PLN, Boston University, Ulrich Sports Complex, L, 0-2,
304.html , 2014 Men's Soccer Schedule,  Oct 15 (Wed) 7 p.m., Maryland, College Park Md., L, 0-2,
304.html , 2014 Men's Soccer Schedule,  Oct 18 (Sat) 5 p.m., Loyola, Baltimore Md., L, 1-2 2OT,
304.html , 2014 Men's Soccer Schedule,  Oct 21 (Tue) 7 p.m.  PLN, Fairleigh Dickinson, Ulrich Sports Complex, W, 4-0,
304.html , 2014 Men's Soccer Schedule,  Oct 25 (Sat) 7 p.m.  PLN, Army, Ulrich Sports Complex, W, 2-1,
304.html , 2014 Men's Soccer Schedule,  Oct 29 (Wed) 7 p.m.  PLN, Navy, Ulrich Sports Complex, T, 1-1 2OT,
304.html , 2014 Men's Soccer Schedule,  Nov 1 (Sat) 4 p.m., Colgate, Hamilton N.Y., W, 3-1,
304.html , 2014 Men's Soccer Schedule,  Nov 8 (Sat) 5 p.m., Holy Cross, Worcester Mass., W, 2-1,
304.html , 2014 Men's Soccer Schedule,  Nov 11 (Tue) 7 p.m., No. 5 Bucknell, Ulrich Sports Complex, L, 0-4,
305.html , 2014-2015 Tickets & Venues Schedule,  Apr 18 (Sat) Mar 26 (Thu), USBands Winter Championships, Bethlehem Stabler Arena, Na, Na
305.html , 2014-2015 Tickets & Venues Schedule,  Apr 18 (Sat) Apr 19 (Sun), Antique Show, Bethlehem Rauch Fieldhouse, Na, Na
305.html , 2014-2015 Tickets & Venues Schedule,  Apr 24 (Fri) 7:00pm, Third Day Concert, Bethlehem Stabler Arena, Na, Na
305.html , 2014-2015 Tickets & Venues Schedule,  Apr 30 (Thu) 9:00AM to 2:00PM, Women's Business Council and Small Business Council B2B Expo, Bethlehem Stabler Arena, Na, Na
305.html , 2014-2015 Tickets & Venues Schedule,  May 7 (Thu) 4:00pm and 7:00pm, Disney Live! presents Three Classic Fairy Tales, Bethlehem Stabler Arena, Na, Na
305.html , 2014-2015 Tickets & Venues Schedule,  May 9 (Sat) 11:00am, Penn State - Lehigh Valley Commencement, Bethlehem Stabler Arena, Na, Na
305.html , 2014-2015 Tickets & Venues Schedule,  May 18 (Mon) 10:00AM, 147th Lehigh University Commencement, Bethlehem Goodman Stadium, Na, Na
305.html , 2014-2015 Tickets & Venues Schedule,  May 22 (Fri) May 25 (Mon), US Lacrosse - Women's National Tourn., Bethlehem Goodman Campus, Na, Na
305.html , 2014-2015 Tickets & Venues Schedule,  Jun 3 (Wed) 7:00pm, Liberty High School Graduation, Bethlehem Stabler Arena, Na, Na
305.html , 2014-2015 Tickets & Venues Schedule,  Jun 4 (Thu), Freedom High School Graduation, Bethlehem Stabler Arena, Na, Na
305.html , 2014-2015 Tickets & Venues Schedule,  Jun 5 (Fri), Nazareth High School Graduation, Bethlehem Stabler Arena, Na, Na
305.html , 2014-2015 Tickets & Venues Schedule,  Jun 6 (Sat), NW Lehigh High School Graduation, Bethlehem Stabler Arena, Na, Na
305.html , 2014-2015 Tickets & Venues Schedule,  Jun 6 (Sat), Northampton High School Graduation, Bethlehem Stabler Arena, Na, Na
305.html , 2014-2015 Tickets & Venues Schedule,  Jun 7 (Sun), Emmaus High School Graduation, Bethlehem Stabler Arena, Na, Na
305.html , 2014-2015 Tickets & Venues Schedule,  Jun 8 (Mon) 6:30PM, Southern Lehigh HS Graduation, Bethlehem Stabler Arena, Na, Na
305.html , 2014-2015 Tickets & Venues Schedule,  Jun 9 (Tue) 6:00PM, Easton High School Graduation, Bethlehem Stabler Arena, Na, Na
305.html , 2014-2015 Tickets & Venues Schedule,  Jun 10 (Wed) 6:00PM, Pennridge High School Graduation, Bethlehem Stabler Arena, Na, Na
305.html , 2014-2015 Tickets & Venues Schedule,  Jun 11 (Thu) 7:00PM, Quakertown High School Graduation, Bethlehem Stabler Arena, Na, Na
305.html , 2014-2015 Tickets & Venues Schedule,  Jun 12 (Fri) 7:00PM, Whitehall High School Graduation, Bethlehem Stabler Arena, Na, Na
305.html , 2014-2015 Tickets & Venues Schedule,  Jun 13 (Sat) Jun 14 (Sun), Lehigh Laxfest, Bethlehem Goodman Campus, Na, Na
305.html , 2014-2015 Tickets & Venues Schedule,  Jun 20 (Sat) Jun 21 (Sun), Lehigh Laxfest2, Bethlehem Goodman Campus, Na, Na
305.html , 2014-2015 Tickets & Venues Schedule,  Jun 26 (Fri) Jun 28 (Sun), Project 120 - Girls Lacrosse, Bethlehem Goodman Campus, Na, Na
305.html , 2014-2015 Tickets & Venues Schedule,  Jul 16 (Thu), American Bridal Show, Bethlehem Stabler Arena, Na, Na
306.html , 2014 Field Hockey Schedule,  Aug 29 (Fri) 4:00 pm, Saint Joseph's, Ulrich Sports Complex, L, 1-2,
306.html , 2014 Field Hockey Schedule,  Aug 31 (Sun) 1:00 pm, Saint Francis (Pa.), Ulrich Sports Complex, L, 2-5,
306.html , 2014 Field Hockey Schedule,  Sep 5 (Fri) 3:00 pm, Penn, Philadelphia Pa., L, 1-9,
306.html , 2014 Field Hockey Schedule,  Sep 7 (Sun) 1:00 pm, Monmouth, Ulrich Sports Complex, L, 1-3,
306.html , 2014 Field Hockey Schedule,  Sep 12 (Fri) 7:00 pm, Cornell, Ulrich Sports Complex, L, 0-6,
306.html , 2014 Field Hockey Schedule,  Sep 14 (Sun) 12:00 pm, Towson, Ulrich Sports Complex, W, 2-1 OT,
306.html , 2014 Field Hockey Schedule,  Sep 20 (Sat) 12:00 pm, American, Washington D.C., L, 0-4,
306.html , 2014 Field Hockey Schedule,  Sep 21 (Sun) 12:00 pm, Georgetown, Washington D.C., W, 4-2,
306.html , 2014 Field Hockey Schedule,  Sep 27 (Sat) 11:00 am, Holy Cross, Ulrich Sports Complex, W, 3-1,
306.html , 2014 Field Hockey Schedule,  Sep 28 (Sun) 1:00 pm, Sacred Heart, Ulrich Sports Complex, W, 4-2,
306.html , 2014 Field Hockey Schedule,  Oct 4 (Sat) 12:00 pm, Colgate, Ulrich Sports Complex, L, 1-2,
306.html , 2014 Field Hockey Schedule,  Oct 5 (Sun) 2:00 pm, Fairfield, Fairfield Conn., L, 0-4,
306.html , 2014 Field Hockey Schedule,  Oct 11 (Sat) 12:00 pm, Boston University, Boston Mass., L, 0-1,
306.html , 2014 Field Hockey Schedule,  Oct 12 (Sun) 12:00 pm, Brown, Providence R.I., L, 2-4,
306.html , 2014 Field Hockey Schedule,  Oct 19 (Sun) 1:00 pm, Lock Haven, Lock Haven Pa., L, 0-4,
306.html , 2014 Field Hockey Schedule,  Oct 25 (Sat) 12:00 pm, Lafayette, Easton Pa., L, 1-5,
306.html , 2014 Field Hockey Schedule,  Nov 1 (Sat) 2:00 pm, Bucknell, Ulrich Sports Complex, L, 1-4,
306.html , 2014 Field Hockey Schedule,  Nov 2 (Sun) 1:00 pm, La Salle, Ulrich Sports Complex, L, 2-3,
308.html , 2014 Women's Cross Country Schedule,  Aug 29 (Fri) 5:30 p.m., Lehigh Invitational, Goodman Campus, Na,2 of 8,
308.html , 2014 Women's Cross Country Schedule,  Sep 13 (Sat) 10 a.m., Lafayette, Goodman Campus, W, 18-45,
308.html , 2014 Women's Cross Country Schedule,  Sep 27 (Sat) 1:10 p.m., Roy Griak Invitational, Minneapolis Minn., Na,26 of 35,
308.html , 2014 Women's Cross Country Schedule,  Oct 4 (Sat) 10 a.m., Lehigh Paul Short Run, Goodman Campus, Na,29 of 38,
308.html , 2014 Women's Cross Country Schedule,  Oct 18 (Sat) 10:30 a.m., Princeton Invite, Princeton N.J., Na,8 of 35,
308.html , 2014 Women's Cross Country Schedule,  Nov 1 (Sat) 11 a.m., Patriot League Championships, Goodman Campus, Na,6 of 10,
308.html , 2014 Women's Cross Country Schedule,  Nov 14 (Fri) 12:00 p.m., NCAA Mid-Atlantic Regional, University Park Pa., Na,13 of 29,
312.html , 2014-2015 Men's Club Varsity Ice Hockey Schedule,  Sep 20 (Sat) 7:35:00 PM, Villanova University, Hatfield PA Hatfield Ice arena, L, 1-3,
312.html , 2014-2015 Men's Club Varsity Ice Hockey Schedule,  Sep 26 (Fri) 7:00 PM, University of Rhode Island, Kingston RI Brad Boss Arena, L, 0-9,
312.html , 2014-2015 Men's Club Varsity Ice Hockey Schedule,  Sep 27 (Sat) 7:00 PM, University of Rhode Island, Kingston RI Brad Boss Arena, L, 2-6,
312.html , 2014-2015 Men's Club Varsity Ice Hockey Schedule,  Oct 3 (Fri) 8:00:00 PM, Temple University, Bethlehem PA Steel Ice Center, W, 7-4,
312.html , 2014-2015 Men's Club Varsity Ice Hockey Schedule,  Oct 4 (Sat) 8:00:00 PM, Penn State Berks, Reading PA Body Zone, W, 8-5,
312.html , 2014-2015 Men's Club Varsity Ice Hockey Schedule,  Oct 10 (Fri) 8:00:00 PM, Towson University, Bethlehem PA Steel Ice Center, L, 3-5,
312.html , 2014-2015 Men's Club Varsity Ice Hockey Schedule,  Oct 17 (Fri) 8:00:00 PM, Rider University, Bethlehem PA Steel Ice Center, L, 1-2,
312.html , 2014-2015 Men's Club Varsity Ice Hockey Schedule,  Oct 24 (Fri) 8:00:00 PM, Rochester Institute of Technology, Bethlehem PA Steel Ice Center, W, 9-6,
312.html , 2014-2015 Men's Club Varsity Ice Hockey Schedule,  Oct 25 (Sat) 7:30:00 PM, United States Naval Academy, Bethlehem PA Steel Ice Center, L, 3-8,
312.html , 2014-2015 Men's Club Varsity Ice Hockey Schedule,  Oct 31 (Fri) 8:00:00 PM, University of Pittsburgh, Bethlehem PA Steel Ice Center, L, 3-8,
312.html , 2014-2015 Men's Club Varsity Ice Hockey Schedule,  Nov 1 (Sat) 8:00:00 PM, Penn State University (Berks), Wyomissing PA Body Zone, W, 6-5,
312.html , 2014-2015 Men's Club Varsity Ice Hockey Schedule,  Nov 7 (Fri) 8:00:00 PM, Penn State University (Berks), Bethlehem PA Steel Ice Center, L, 3-6,
312.html , 2014-2015 Men's Club Varsity Ice Hockey Schedule,  Nov 8 (Sat) 6:30:00 pm, New Jersey Institute of Technology, Newark NJ Prudential Center, W, 9-4,
312.html , 2014-2015 Men's Club Varsity Ice Hockey Schedule,  Nov 14 (Fri) 7:30:00 PM, Indiana University of Pennsylvania, S&T; Bank Arena S & T Bank Arena, W, 7-6,
312.html , 2014-2015 Men's Club Varsity Ice Hockey Schedule,  Nov 15 (Sat) 3:00:00 PM, Indiana University of Pennsylvania, S&T; Bank Arena S & T Bank Arena, Na,O, 6-7,
312.html , 2014-2015 Men's Club Varsity Ice Hockey Schedule,  Dec 6 (Sat) 2:00:00 PM, Lafayette College, Allentown PA PPL Center, W, 5-4,
312.html , 2014-2015 Men's Club Varsity Ice Hockey Schedule,  Jan 16 (Fri) 8:00:00 PM, Drexel University, Bethlehem PA Steel Ice Center, L, 4-15,
312.html , 2014-2015 Men's Club Varsity Ice Hockey Schedule,  Jan 17 (Sat) 7:15:00 PM, Drexel University, Philadelphia PA Class of 1923 Rink, L, 4-11,
312.html , 2014-2015 Men's Club Varsity Ice Hockey Schedule,  Jan 23 (Fri) 8:00:00 PM, Villanova University, Bethlehem PA Steel Ice Center, L, 5-6,
312.html , 2014-2015 Men's Club Varsity Ice Hockey Schedule,  Jan 24 (Sat) 4:30:00 PM, Villanova University, Hatfield PA Hatfield Ice arena, W, 7-6,
312.html , 2014-2015 Men's Club Varsity Ice Hockey Schedule,  Jan 30 (Fri) 7:30:00 PM, United States Naval Academy, Annapolis MD McMullen Hockey arena, L, 2-6,
312.html , 2014-2015 Men's Club Varsity Ice Hockey Schedule,  Jan 31 (Sat) 8:00:00 PM, Towson University, Abingdon MD Ice World, L, 2-10,
312.html , 2014-2015 Men's Club Varsity Ice Hockey Schedule,  Feb 6 (Fri) 8:00:00 PM, Binghampton University, Bethlehem PA Steel Ice Center, W, 7-2,
